Category,Command,Method,APIURIDomain,APIURIPath,APIVersion,Level,Enable
management,checkNameAvailability,POST,management.azure.com,/subscriptions/{subscriptionId}/providers/Microsoft.Purview/checkNameAvailability?accountName={accountName},api-version=2021-07-01,1,0
management,createAccount,PUT,management.azure.com,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Purview/accounts/{accountName},api-version=2021-07-01,1,0
management,defaultAccount,GET,management.azure.com,/providers/Microsoft.Purview/getDefaultAccount,api-version=2021-07-01,0,0
management,deleteAccount,DELETE,management.azure.com,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Purview/accounts/{accountName},api-version=2021-07-01,1,0
management,deletePrivateEndpoint,DELETE,management.azure.com,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Purview/accounts/{accountName}/privateEndpointConnections/{privateEndpointConnectionName},api-version=2021-07-01,1,0
management,listKeys,POST,management.azure.com,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Purview/accounts/{accountName}/listkeys,api-version=2021-07-01,1,0
management,listOperations,GET,management.azure.com,/providers/Microsoft.Purview/operations,api-version=2021-07-01,0,1
management,listPrivateLinkResources,GET,management.azure.com,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Purview/accounts/{accountName}/privateLinkResources/{groupId},api-version=2021-07-01,1,0
management,putPrivateEndpoint,PUT,management.azure.com,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Purview/accounts/{accountName}/privateEndpointConnections/{privateEndpointConnectionName},api-version=2021-07-01,1,0
management,readAccount,GET,management.azure.com,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Purview/accounts/{accountName},api-version=2021-07-01,0,0
management,readAccounts,GET,management.azure.com,/subscriptions/{subscriptionId}/providers/Microsoft.Purview/accounts,api-version=2021-07-01,0,0
management,readPrivateEndpoint,GET,management.azure.com,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Purview/accounts/{accountName}/privateEndpointConnections/{privateEndpointConnectionName},api-version=2021-07-01,1,0
management,readPrivateEndpoints,GET,management.azure.com,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Purview/accounts/{accountName}/privateEndpointConnections,api-version=2021-07-01,1,0
management,removeDefaultAccount,POST,management.azure.com,/providers/Microsoft.Purview/removeDefaultAccount,api-version=2021-07-01,1,0
management,setDefaultAccount,POST,management.azure.com,/providers/Microsoft.Purview/setDefaultAccount,api-version=2021-07-01,1,0
management,updateAccount,PATCH,management.azure.com,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Purview/accounts/{accountName},api-version=2021-07-01,1,0
credential,delete,DELETE,.proxy.purview.azure.com,/credentials/{credentialName},api-version=2021-07-01,1,0
credential,put,PUT,.proxy.purview.azure.com,/credentials/{credentialName},api-version=2021-07-01,1,0
credential,read,GET,.proxy.purview.azure.com,/credentials/{credentialName},api-version=2021-07-01,1,0
entity,create,POST,.catalog.purview.azure.com,/atlas/v2/entity,api-version=2021-07-01,1,0
entity,createBulk,POST,.catalog.purview.azure.com,/atlas/v2/entity/bulk,api-version=2021-07-01,1,0
entity,createBulkClassification,POST,.catalog.purview.azure.com,/atlas/v2/entity/bulk/classification,api-version=2021-07-01,1,0
entity,createBulkSetClassifications,POST,.catalog.purview.azure.com,/atlas/v2/entity/bulk/setClassifications,api-version=2021-07-01,1,0
entity,createClassifications,POST,.catalog.purview.azure.com,/atlas/v2/entity/guid/{guid}/classifications,api-version=2021-07-01,1,0
entity,createUniqueAttributeClassifications,POST,.catalog.purview.azure.com,/atlas/v2/entity/uniqueAttribute/type/{typeName}/classifications,api-version=2021-07-01,1,0
entity,delete,DELETE,.catalog.purview.azure.com,/atlas/v2/entity/guid/{guid},api-version=2021-07-01,1,0
entity,deleteBulk,DELETE,.catalog.purview.azure.com,/atlas/v2/entity/bulk,api-version=2021-07-01,1,0
entity,deleteClassification,DELETE,.catalog.purview.azure.com,/atlas/v2/entity/guid/{guid}/classification/{classificationName},api-version=2021-07-01,1,0
entity,deleteUniqueAttribute,DELETE,.catalog.purview.azure.com,/atlas/v2/entity/uniqueAttribute/type/{typeName},api-version=2021-07-01,1,0
