Category,Command,Method,APIURIDomain,APIURIPath,APIVersion,Level,Enable
entity,deleteUniqueAttributeClassification,DELETE,.catalog.purview.azure.com,/atlas/v2/entity/uniqueAttribute/type/{typeName}/classification/{classificationName},api-version=2021-07-01,1,0
entity,put,PUT,.catalog.purview.azure.com,/atlas/v2/entity/guid/{guid},api-version=2021-07-01,1,0
entity,putClassifications,PUT,.catalog.purview.azure.com,/atlas/v2/entity/guid/{guid}/classifications,api-version=2021-07-01,1,0
entity,putUniqueAttribute,PUT,.catalog.purview.azure.com,/atlas/v2/entity/uniqueAttribute/type/{typeName},api-version=2021-07-01,1,0
entity,putUniqueAttributeClassifications,PUT,.catalog.purview.azure.com,/atlas/v2/entity/uniqueAttribute/type/{typeName}/classifications,api-version=2021-07-01,1,0
entity,read,GET,.catalog.purview.azure.com,/atlas/v2/entity/guid/{guid},api-version=2021-07-01,1,0
entity,readBulk,GET,.catalog.purview.azure.com,/api/atlas/v2/entity/bulk,api-version=2021-07-01,0,0
entity,readBulkUniqueAttribute,GET,.catalog.purview.azure.com,/atlas/v2/entity/bulk/uniqueAttribute/type/{typeName},api-version=2021-07-01,1,0
entity,readClassification,GET,.catalog.purview.azure.com,/atlas/v2/entity/guid/{guid}/classification/{classificationName},api-version=2021-07-01,1,0
entity,readClassifications,GET,.catalog.purview.azure.com,/atlas/v2/entity/guid/{guid}/classifications,api-version=2021-07-01,1,0
entity,readHeader,GET,.catalog.purview.azure.com,/atlas/v2/entity/guid/{guid}/header,api-version=2021-07-01,1,0
entity,readUniqueAttribute,GET,.catalog.purview.azure.com,/atlas/v2/entity/uniqueAttribute/type/{typeName}?qualifiedName={qualifiedName},api-version=2021-07-01,1,0
search,search,POST,.catalog.purview.azure.com,/atlas/v2/search/query?keywords={keywords}&limit={limit}&offset={offset}&filterJSON={filterJSON}&facetsJSON={facetsJSON},api-version=2021-07-01,1,0
search,searchAdvanced,POST,.catalog.purview.azure.com,/api/search/advanced?keywords={keywords},api-version=2021-07-01,1,0
search,searchSuggest,POST,.catalog.purview.azure.com,/api/search/suggest?keywords={keywords},api-version=2021-07-01,1,0
search,searchAutocomplete,GET,.catalog.purview.azure.com,/api/search/autocomplete?keyword={keyword},api-version=2021-07-01,1,0
glossary,create,POST,.catalog.purview.azure.com,/api/atlas/v2/glossary,api-version=2021-07-01,1,0
glossary,createCategories,POST,.catalog.purview.azure.com,/api/atlas/v2/glossary/categories,api-version=2021-07-01,1,0
glossary,createCategory,POST,.catalog.purview.azure.com,/api/atlas/v2/glossary/category,api-version=2021-07-01,1,0
glossary,createTerm,POST,.catalog.purview.azure.com,/api/atlas/v2/glossary/term,api-version=2021-07-01,1,0
glossary,createTerms,POST,.catalog.purview.azure.com,/api/atlas/v2/glossary/terms,api-version=2021-07-01,1,0
glossary,createTermsAssignedEntities,POST,.catalog.purview.azure.com,/api/atlas/v2/glossary/terms/{termGuid}/assignedEntities,api-version=2021-07-01,1,0
glossary,createTermsExport,POST,.catalog.purview.azure.com,/api/atlas/v2/glossary/{glossaryGuid}/terms/export?termGuid={termGuid},api-version=2021-07-01,1,0
glossary,createTermsImport,POST,.catalog.purview.azure.com,/api/atlas/v2/glossary/{glossaryGuid}/terms/import,api-version=2021-07-01,1,0
glossary,delete,DELETE,.catalog.purview.azure.com,/api/atlas/v2/glossary/{glossaryGuid},api-version=2021-07-01,1,0
glossary,deleteCategory,DELETE,.catalog.purview.azure.com,/api/atlas/v2/glossary/category/{categoryGuid},api-version=2021-07-01,1,0
glossary,deleteTerm,DELETE,.catalog.purview.azure.com,/api/atlas/v2/glossary/term/{termGuid},api-version=2021-07-01,1,0
glossary,deleteTermsAssignedEntities,DELETE,.catalog.purview.azure.com,/api/atlas/v2/glossary/terms/{termGuid}/assignedEntities,api-version=2021-07-01,1,0
glossary,update,PUT,.catalog.purview.azure.com,/api/atlas/v2/glossary/{glossaryGuid},api-version=2021-07-01,1,0
glossary,putCategory,PUT,.catalog.purview.azure.com,/api/atlas/v2/glossary/category/{categoryGuid},api-version=2021-07-01,1,0
glossary,putCategoryPartial,PUT,.catalog.purview.azure.com,/api/atlas/v2/glossary/category/{categoryGuid}/partial,api-version=2021-07-01,1,0
glossary,putPartial,PUT,.catalog.purview.azure.com,/api/atlas/v2/glossary/{glossaryGuid}/partial,api-version=2021-07-01,1,0
glossary,putTerm,PUT,.catalog.purview.azure.com,/api/atlas/v2/glossary/term/{termGuid},api-version=2021-07-01,1,0
glossary,putTermPartial,PUT,.catalog.purview.azure.com,/api/atlas/v2/glossary/term/{termGuid}/partial,api-version=2021-07-01,1,0
glossary,putTermsAssignedEntities,PUT,.catalog.purview.azure.com,/api/atlas/v2/glossary/terms/{termGuid}/assignedEntities,api-version=2021-07-01,1,0
glossary,readAll,GET,.catalog.purview.azure.com,/api/atlas/v2/glossary,api-version=2021-07-01,0,1
glossary,readOneGlossary,GET,.catalog.purview.azure.com,/api/atlas/v2/glossary/{glossaryGuid},api-version=2021-07-01,1,0
glossary,readDetailed,GET,.catalog.purview.azure.com,/api/atlas/v2/glossary/{glossaryGuid}/detailed,api-version=2021-07-01,1,0
glossary,readCategories,GET,.catalog.purview.azure.com,/api/atlas/v2/glossary/{glossaryGuid}/categories,api-version=2021-07-01,1,0
glossary,readCategoriesHeaders,GET,.catalog.purview.azure.com,/api/atlas/v2/glossary/{glossaryGuid}/categories/headers,api-version=2021-07-01,1,0
glossary,readCategory,GET,.catalog.purview.azure.com,/api/atlas/v2/glossary/category/{categoryGuid},api-version=2021-07-01,1,0
glossary,readCategoryRelated,GET,.catalog.purview.azure.com,/api/atlas/v2/glossary/category/{categoryGuid}/related,api-version=2021-07-01,1,0
glossary,readCategoryTerms,GET,.catalog.purview.azure.com,/api/atlas/v2/glossary/category/{categoryGuid}/terms,api-version=2021-07-01,1,0
glossary,readTerm,GET,.catalog.purview.azure.com,/api/atlas/v2/glossary/term/{termGuid},api-version=2021-07-01,1,0
glossary,readTerms,GET,.catalog.purview.azure.com,/api/atlas/v2/glossary/{glossaryGuid}/terms,api-version=2021-07-01,1,0
glossary,readTermsAssignedEntities,GET,.catalog.purview.azure.com,/api/atlas/v2/glossary/terms/{termGuid}/assignedEntities,api-version=2021-07-01,1,0
glossary,readTermsHeaders,GET,.catalog.purview.azure.com,/api/atlas/v2/glossary/{glossaryGuid}/terms/headers,api-version=2021-07-01,1,0
glossary,readTermsImport,GET,.catalog.purview.azure.com,/api/atlas/v2/glossary/terms/import/{operationGuid},api-version=2021-07-01,1,0
glossary,readTermsRelated,GET,.catalog.purview.azure.com,/api/atlas/v2/glossary/terms/{termGuid}/related,api-version=2021-07-01,1,0
insight,fileExtensions,POST,.guardian.purview.azure.com,/reports/fileExtensions,api-version=2021-07-01,1,0
insight,graphql,POST,.guardian.purview.azure.com,/graphql,api-version=2021-07-01,1,0
insight,assetDataSources,POST,.catalog.purview.azure.com,/mapanddiscover/reports/asset2/dataSources,api-version=2021-07-01,1,0
insight,assetDistribution,GET,.catalog.purview.azure.com,/mapanddiscover/reports/asset2/assetDistribution/getSnapshot,api-version=2021-07-01,0,0
insight,fileTypeSizeTimeSeries,POST,.catalog.purview.azure.com,/mapanddiscover/reports/asset2/fileTypeSizeTimeSeries,api-version=2021-07-01,1,0
insight,filesWithoutResourceSet,GET,.catalog.purview.azure.com,/mapanddiscover/reports/asset2/filesWithoutResourceSet/getSnapshot,api-version=2021-07-01,0,0
insight,scanStatusSummaries,GET,.catalog.purview.azure.com,/mapanddiscover/reports/scanstatus2/summaries,api-version=2021-07-01,0,0
insight,scanStatusSummariesByTs,GET,.catalog.purview.azure.com,/mapanddiscover/reports/scanstatus2/summariesbyts,api-version=2021-07-01,0,0
insight,topFileTypesBySize,POST,.catalog.purview.azure.com,/mapanddiscover/reports/asset2/topFileTypesBySize,api-version=2021-07-01,1,0
lineage,read,GET,.catalog.purview.azure.com,/api/atlas/v2/lineage/{guid},api-version=2021-07-01,1,0
lineage,readNext,GET,.catalog.purview.azure.com,/api/atlas/v2/lineage/{guid}/next/,api-version=2021-07-01,1,0
relationship,create,POST,.catalog.purview.azure.com,/api/atlas/v2/relationship,api-version=2021-07-01,1,0
relationship,delete,DELETE,.catalog.purview.azure.com,/api/atlas/v2/relationship/guid/{guid},api-version=2021-07-01,1,0
relationship,update,PUT,.catalog.purview.azure.com,/api/atlas/v2/relationship,api-version=2021-07-01,1,0
relationship,read,GET,.catalog.purview.azure.com,/api/atlas/v2/relationship/guid/{guid},api-version=2021-07-01,1,0
scan,cancelScan,POST,.catalog.purview.azure.com,/scan/datasources/{dataSourceName}/scans/{scanName}/runs/{runId}/:cancel,api-version=2021-07-01,1,0
scan,deleteClassificationRule,DELETE,.catalog.purview.azure.com,/scan/classificationrules/{classificationRuleName},api-version=2021-07-01,1,0
scan,deleteDataSource,DELETE,.catalog.purview.azure.com,/scan/datasources/{dataSourceName},api-version=2021-07-01,1,0
scan,deleteKeyVault,DELETE,.catalog.purview.azure.com,/scan/azureKeyVaults/{keyVaultName},api-version=2021-07-01,1,0
scan,deleteScan,DELETE,.catalog.purview.azure.com,/scan/datasources/{dataSourceName}/scans/{scanName},api-version=2021-07-01,1,0
scan,deleteScanRuleset,DELETE,.catalog.purview.azure.com,/scan/scanrulesets/{scanRulesetName},api-version=2021-07-01,1,0
scan,deleteTrigger,DELETE,.catalog.purview.azure.com,/scan/datasources/{dataSourceName}/scans/{scanName}/triggers/default,api-version=2021-07-01,1,0
scan,putClassificationRule,PUT,.catalog.purview.azure.com,/scan/classificationrules/{classificationRuleName},api-version=2021-07-01,1,0
scan,putDataSource,PUT,.catalog.purview.azure.com,/scan/datasources/{dataSourceName},api-version=2021-07-01,1,0
scan,putFilter,PUT,.catalog.purview.azure.com,/scan/datasources/{dataSourceName}/scans/{scanName}/filters/custom,api-version=2021-07-01,1,0
scan,putKeyVault,PUT,.catalog.purview.azure.com,/scan/azureKeyVaults/{keyVaultName},api-version=2021-07-01,1,0
scan,putScan,PUT,.catalog.purview.azure.com,/scan/datasources/{dataSourceName}/scans/{scanName},api-version=2021-07-01,1,0
scan,putScanRuleset,PUT,.catalog.purview.azure.com,/scan/scanrulesets/{scanRulesetName},api-version=2021-07-01,1,0
scan,putTrigger,PUT,.catalog.purview.azure.com,/scan/datasources/{dataSourceName}/scans/{scanName}/triggers/default,api-version=2021-07-01,1,0
scan,readClassificationRule,GET,.catalog.purview.azure.com,/scan/classificationrules/{classificationRuleName},api-version=2021-07-01,1,0
scan,readClassificationRuleVersions,GET,.catalog.purview.azure.com,/scan/classificationrules/{classificationRuleName}/versions,api-version=2021-07-01,1,0
scan,readClassificationRules,GET,.scan.purview.azure.com,/classificationrules,api-version=2018-12-01-preview,0,1
scan,readDatasource,GET,.catalog.purview.azure.com,/scan/datasources/{dataSourceName}/scans,api-version=2021-07-01,1,0
scan,readDatasources,GET,.scan.purview.azure.com,/datasources,api-version=2018-12-01-preview,0,1
scan,readFilters,GET,.catalog.purview.azure.com,/scan/datasources/{dataSourceName}/scans/{scanName}/filters/custom,api-version=2021-07-01,1,0
scan,readKeyVault,GET,.catalog.purview.azure.com,/scan/azureKeyVaults/{keyVaultName},api-version=2021-07-01,1,0
scan,readKeyVaults,GET,.scan.purview.azure.com,/azureKeyVaults,api-version=2018-12-01-preview,0,1
scan,readScan,GET,.catalog.purview.azure.com,/scan/datasources/{dataSourceName}/scans/{scanName},api-version=2021-07-01,1,0
scan,readScanHistory,GET,.catalog.purview.azure.com,/scan/datasources/{dataSourceName}/scans/{scanName}/runs,api-version=2021-07-01,1,0
scan,readScanRuleset,GET,.catalog.purview.azure.com,/scan/scanrulesets/{scanRulesetName},api-version=2021-07-01,1,0
scan,readScanRulesets,GET,.scan.purview.azure.com,/scanrulesets,api-version=2018-12-01-preview,0,1
scan,readScans,GET,.catalog.purview.azure.com,/scan/datasources/{dataSourceName}/scans,api-version=2021-07-01,1,0
scan,readSystemScanRuleset,GET,.catalog.purview.azure.com,/scan/systemScanRulesets/datasources/{dataSourceType},api-version=2021-07-01,1,0
scan,readSystemScanRulesetLatest,GET,.scan.purview.azure.com,/systemScanRulesets/versions/latest,api-version=2018-12-01-preview,1,0
scan,readSystemScanRulesetVersion,GET,.catalog.purview.azure.com,/scan/systemScanRulesets/versions/{version}?dataSourceType={dataSourceType},api-version=2021-07-01,1,0
scan,readSystemScanRulesetVersions,GET,.catalog.purview.azure.com,/scan/systemScanRulesets/versions?dataSourceType={dataSourceType},api-version=2021-07-01,1,0
scan,readSystemScanRulesets,GET,.scan.purview.azure.com,/systemScanRulesets,api-version=2018-12-01-preview,0,1
scan,readTrigger,GET,.catalog.purview.azure.com,/scan/datasources/{dataSourceName}/scans/{scanName}/triggers/default,api-version=2021-07-01,1,0
scan,createTrigger,PUT,.catalog.purview.azure.com,/scan/datasources/{dataSourceName}/scans/{scanName}/triggers/default,api-version=2021-07-01,1,0
scan,deleteTrigger,DELETE,.catalog.purview.azure.com,/scan/datasources/{dataSourceName}/scans/{scanName}/triggers/default,api-version=2021-07-01,1,0
scan,runScan,PUT,.catalog.purview.azure.com,/scan/datasources/{dataSourceName}/scans/{scanName}/runs/{uuid},api-version=2021-07-01,1,0
types,createTypeDefs,POST,.catalog.purview.azure.com,/api/atlas/v2/types/typedefs,api-version=2021-07-01,1,0
types,deleteTypeDef,DELETE,.catalog.purview.azure.com,/api/atlas/v2/types/typedef/name/{name},api-version=2021-07-01,1,0
types,deleteTypeDefs,DELETE,.catalog.purview.azure.com,/api/atlas/v2/types/typedefs,api-version=2021-07-01,1,0
types,putTypeDefs,PUT,.catalog.purview.azure.com,/api/atlas/v2/types/typedefs,api-version=2021-07-01,1,0
types,readClassificationDef,GET,.catalog.purview.azure.com,/api/atlas/v2/types/classificationdef/{typeDefKey}/{typeDefVal},api-version=2021-07-01,1,0
types,readEntityDef,GET,.catalog.purview.azure.com,/api/atlas/v2/types/entitydef/{typeDefKey}/{typeDefVal},api-version=2021-07-01,1,0
types,readEnumDef,GET,.catalog.purview.azure.com,/api/atlas/v2/types/enumdef/{typeDefKey}/{typeDefVal},api-version=2021-07-01,1,0
types,readRelationshipDef,GET,.catalog.purview.azure.com,/api/atlas/v2/types/relationshipdef/{typeDefKey}/{typeDefVal},api-version=2021-07-01,1,0
types,readStatistics,GET,.catalog.purview.azure.com,/api/atlas/v2/types/statistics,api-version=2021-07-01,0,1
types,readStructDef,GET,.catalog.purview.azure.com,/api/atlas/v2/types/structdef/{typeDefKey}/{typeDefVal},api-version=2021-07-01,1,0
types,readTermTemplateDef,GET,.catalog.purview.azure.com,/api/atlas/v2/types/termtemplatedef/{typeDefKey}/{typeDefVal},api-version=2021-07-01,1,0
types,readTypeDef,GET,.catalog.purview.azure.com,/api/atlas/v2/types/typedef/{typeDefKey}/{typeDefVal},api-version=2021-07-01,1,0
types,readTypeDefs,GET,.catalog.purview.azure.com,/api/atlas/v2/types/typedefs,api-version=2021-07-01,0,1
types,readTypeDefsHeaders,GET,.catalog.purview.azure.com,/api/atlas/v2/types/typedefs/headers,api-version=2021-07-01,0,1
metadatapolicy,readMetadataRoles,GET,.catalog.purview.azure.com,/policystore/metadataroles,api-version=2021-07-01,0,0
metadatapolicy,readMetadataPolicyByCollection,GET,.catalog.purview.azure.com,/policystore/collections/{collectionName}/metadataPolicy,api-version=2021-07-01,1,0
metadatapolicy,readMetadataPolicyByPolicyID,GET,.catalog.purview.azure.com,/policystore/metadataPolicies/{policyId},api-version=2021-07-01,1,0
metadatapolicy,readAllMetadataPolicies,GET,.catalog.purview.azure.com,/policystore/metadataPolicies,api-version=2021-07-01,0,0
metadatapolicy,putMetadataPolicy,PUT,.catalog.purview.azure.com,/policystore/metadataPolicies/{policyId},api-version=2021-07-01,1,0
collections,readAllCollections,GET,.purview.azure.com,/account/collections,api-version=2019-11-01-preview,0,1
collections,createOrUpdateCollection,PUT,.catalog.purview.azure.com,/account/collections/{collectionName6Chars},api-version=2019-11-01-preview,1,0
collections,deleteCollection,DELETE,.catalog.purview.azure.com,/account/collections/{collectionName6Chars},api-version=2019-11-01-preview,1,0
discovery,browse,POST,.catalog.purview.azure.com,/api/browse,api-version=2021-05-01-preview,0,1
